ID,Label,Gender
1883518,Toyia Brown,1
1483053,Stu Brumbaugh,0
1843396,Seth Cash,2
1111163,Laura Lyon Rossi,1
1650638,Elizabeth Colunga,1
1883526,Emma Cooper,1
1723635,Nick de Graffenreid,0
1717621,Adam Dorsey,0
1278371,Ken Edling,0
1883528,Jenna Emery,1
1883529,Al Function,2
227474,Brandy Futch,1
1883532,Lauren Goncher,1
1424380,Ellen Ho,1
1780582,Jessica Huss,1
1298706,Raiden Integra,0
1318344,Dallas James,0
228458,Christopher Karl Johnson,2
1883534,Laura Kranz,1
1883536,Timothy Lally,2
1883537,Adeana Lane,1
1286539,Kira Legg,1
1883546,Tracy Ann Lisa,1
1513215,Blue LoLan,1
1503855,Dakota Lupo,0
1883548,Jacob Lyman,2
1337068,Amanda Maddox,1
1883552,Emilee Madrak,1
1883557,Kirstin Masters,1
1883559,Zach McMahon,2
1306640,Chelsea O'Toole,1
1280500,Shaun Parker,0
1883561,Rodney J. Richards,2
1777030,Philip Roosevelt,0
1883562,Osamu Saito,2
74510,Joel Shock,0
1833726,Matthew Skomo,0
1451923,Chantal Thuy,1
1296832,Diana Elizabeth Torres,1
46593,Emile Hirsch,2
4726,Marcia Gay Harden,1
227,William Hurt,2
46594,Brian H. Dierker,0
2229,Catherine Keener,1
4937,Vince Vaughn,2
37917,Kristen Stewart,1
11066,Hal Holbrook,2
20258,Thure Lindhardt,2
46595,Signe Egholm Olsen,1
46596,Cheryl Francis Harrington,1
58225,Zach Galifianakis,2
13152,Robin Mathews,1
928577,Steven Wiig,0
1141723,Bryce Walters,2
49832,R. D. Call,2
61555,Haley Ramm,1
28044,Merritt Wever,1
1431569,John Jabaley,2
1034534,Leonard Knight,0
1533630,Timothy Levine,0
211705,Parris Mosteller,0
1204226,J. Nathan Simmons,2
1608789,Haley Sweet,0
36662,Carey Mulligan,1
37625,Andrew Garfield,2
116,Keira Knightley,1
93210,Domhnall Gleeson,2
127558,Andrea Riseborough,1
44079,Charlotte Rampling,1
39658,Sally Hawkins,1
142388,Izzy Meikle-Small,1
142389,Charlie Rowe,2
989325,Ella Purnell,1
1095524,Lydia Wilson,1
6019,Nathalie Richard,1
1546129,Christina Carrafiell,1
1630671,Kate Bowes Renna,1
1261118,Hannah Sharp,1
1630683,Oliver Parsons,2
117654,David Sterne,2
1631055,Chidi Chickwe,2
229606,Monica Dolan,1
1081470,Amy Lennox,1
487393,Kate Sissons,1
1615300,Luke Bryant,0
1222023,Fidelis Morgan,1
26679,Damien Thomas,2
992,Huggy Leaver,2
40651,Charles Cork,2
2002163,Sylvie Macdonald,1
129840,Anna Maria Everett,1
135630,John Gillespie,2
2002175,Rachel Boss,1
10980,Daniel Radcliffe,2
10990,Emma Watson,1
10989,Rupert Grint,2
5469,Ralph Fiennes,2
1283,Helena Bonham Carter,1
4566,Alan Rickman,2
2440,Bill Nighy,2
5658,Michael Gambon,2
2039,Brendan Gleeson,2
5049,John Hurt,2
96841,Matthew Lewis,2
7026,Rhys Ifans,2
10993,Tom Felton,2
11355,Jason Isaacs,2
11291,Clémence Poésy,1
10991,Bonnie Wright,1
11184,Warwick Davis,2
1923,Robbie Coltrane,2
140367,Evanna Lynch,1
15737,Helen McCrory,1
9191,Timothy Spall,2
477,Julie Walters,1
11356,Imelda Staunton,1
10981,Fiona Shaw,1
3300,Natalia Tena,1
96851,James Phelps,2
140368,Oliver Phelps,2
20999,Mark Williams,2
10983,Richard Griffiths,2
10982,Harry Melling,2
47468,Frances de la Tour,1
32990,Sophie Thompson,1
2482,David O'Hara,2
143892,Steffan Rhodri,2
234933,Katie Leung,1
65445,Samuel Roukin,2
96307,Ian Kelly,2
20057,Michelle Fairley,1
3064,Peter Mullan,2
40638,Guy Henry,2
234921,Arben Bajraktaraj,2
234919,Rod Hunt,2
568378,Suzanne Toase,1
135911,Adrian Annis,0
209884,Emil Hostina,2
79502,Richard Strange,2
1272644,Paul Khanna,0
1272645,Anthony John Crocker,0
568393,Peter G. Reed,0
142747,Granville Saxton,0
568394,Judith Sharp,0
69476,Ashley McGuire,1
568385,Penelope McGhie,0
568395,Bob Yves Van Hellenberg Hubar,0
568396,Tony Kirwood,0
27822,David Ryall,2
17479,Matyelok Gibbs,1
16358,Simon McBurney,2
1140635,Jon Campling,0
234922,Devon Murray,2
568374,William Melling,2
1272646,Simon Grover,0
234934,Freddie Stroma,2
234924,Jessie Cave,1
